Назва Установи / Середньорічні показники,Напрям,Установа,Підпорядкування,Регіон,ЄДРПОУ,Область,"Сума вагових коєфіцієнтів, I*",Середній бал Експерта,Зважена сумарна оцінка (80/20),Нормована зважена сумарна оцінка,Регіональний коєфіцієнт,Коєфіцієнт руйнувань,Попередня атестаційна оцінка,Група
Львівський державний університет фізичної культури імені Івана Боберського,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,34606048,Львівська область,12.2451,2.5667,10.3094,28.3605,1,1,28,В
Центральноукраїнський національний технічний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070950,Кіровоградська область,11.4431,5.7617,10.3068,28.3534,1,1,28,В
Черкаський державний технологічний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,05390336,Черкаська область,11.5244,4.4443,10.1084,27.8076,1,1,28,В
Львівський національний університет імені Івана Франка,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070987,Львівська область,10.6629,5.7777,9.6859,26.6453,1,1,27,В
Уманський національний університет садівництва,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00493787,Черкаська область,11.4266,3.7917,9.8996,27.2332,1,1,27,В
Житомирський державний університет імені Івана Франка,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02125208,Житомирська область,9.982,6.4667,9.2789,25.5257,1,1,26,В
Національний університет «Одеська морська академія»,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",01127799,Одеська область,10.1507,4.7333,9.0672,24.9433,1.05,1,26,В
Ніжинський державний університет імені Миколи Гоголя,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",02125668,Чернігівська область,10.1915,4.5717,9.0675,24.9442,1.05,1,26,В
Одеський національний технологічний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",02071062,Одеська область,10.094,5.2333,9.1219,25.0938,1.05,1,26,В
Київський університет права Національної академії наук України,Суспільний,Заклад вищої освіти,Національна академія наук України,інші області,23745145,Київ,10.087,5.7333,9.2163,25.3535,1,1,25,В
Київський національний лінгвістичний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02125289,Київ,9.1253,4.75,8.2502,22.6958,1,1,23,Г
Харківська державна академія фізичної культури,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",02928261,Харківська область,7.9598,4.8333,7.3345,20.1768,1.1,1,22,Г
Національний лісотехнічний університет України,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070996,Львівська область,7.7638,4.963,7.2036,19.8167,1,1,20,Г
Рівненський державний гуманітарний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,25736989,Рівненська область,8.1669,4,7.3335,20.174,1,1,20,Г
Черкаський національний університет імені Богдана Хмельницького,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02125622,Черкаська область,8.5276,2.3667,7.2954,20.0692,1,1,20,Г
"ЗАКЛАД ВИЩОЇ ОСВІТИ ""ПОДІЛЬСЬКИЙ ДЕРЖАВНИЙ УНІВЕРСИТЕТ""",Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,22769675,Хмельницька область,7.3066,5.9047,7.0262,19.3287,1,1,19,Г
Херсонська державна морська академія,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",35219930,Херсонська область,6.2131,5.5,6.0705,16.6996,1.15,1,19,Г
Український державний університет залізничного транспорту,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",01116472,Харківська область,6.4247,2.7333,5.6864,15.6429,1.1,1.008,17,Г
Державний заклад вищої освіти Університет менеджменту освіти НАПН України,Суспільний,Заклад вищої освіти,Національна академія педагогічних наук України,інші області,35830447,Київ,5.8532,5.7,5.8226,16.0176,1,1,16,Г
Донбаська державна машинобудівна академія,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",02070789,Донецька область,3.8696,5.7,4.2357,11.6522,1.15,1,13,Г
Одеський національний морський університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",01127777,Одеська область,3.9607,4.857,4.14,11.3889,1.05,1,12,Г
"Комунальний заклад вищої освіти ""Дніпровська академія неперервної освіти"" Дніпропетровської обласної ради""",Суспільний,Заклад вищої освіти,Дніпропетровська обласна рада,"Дніпропетровська, Одеська, Чернігівська область",41682253,Дніпропетровська область,3.893,3.0667,3.7277,10.2547,1.05,1,11,Г
Львівський національний університет ветеринарної медицини та біотехнологій імені С.З. Гжицького,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00492990,Львівська область,3.9967,2.6,3.7174,10.2263,1,1,10,Г
