Назва установи / Закладу вищої освіти,Установа,Підпорядкування,Регіон,ЄДРПОУ,Область,Напрям,Класифікаційна оцінка,Експертна оцінка,Зважена сумарна оцінка (80/20),Нормована зважена сумарна оцінка,Регіональний коєфіцієнт,Коєфіцієнт руйнувань,Атестаційна оцінка,Група,Назва показника,Показник,Індикатор,Нормований індикатор
Тернопільський національний педагогічний університет імені Володимира Гнатюка,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2125544,Тернопільська область,Суспільний,20.156,6.4,17.4048,47.8796,1.0,1.0,48,В,"Обсяги залучення державного грантового фінансування Ф3, І10",136.74,0.988,1.0
Херсонський державний аграрно-економічний університет,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",493020,Херсонська область,Суспільний,15.2809,4.889,13.2025,36.3193,1.15,1.142,48,В,"Обсяги залучення державного грантового фінансування Ф3, І10",1003.12,28.842,1.0
Херсонський державний університет,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",2125609,Херсонська область,Суспільний,17.9894,3.8,15.1515,41.6809,1.15,1.0,48,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Чернівецький національний університет імені Юрія Федьковича,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2071240,Чернівецька область,Суспільний,20.1903,5.5667,17.2656,47.4966,1.0,1.0,47,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
"Державний вищий навчальний заклад ""Ужгородський національний університет""",Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070832,Закарпатська область,Суспільний,19.6728,4.7777,16.6938,45.9237,1.0,1.0,46,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Дніпровський національний університет імені Олеся Гончара,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",2066747,Дніпропетровська область,Суспільний,18.4614,4.9523,15.7596,43.3537,1.05,1.0,46,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Херсонський національний технічний університет,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",5480298,Херсонська область,Суспільний,16.6967,5.889,14.5352,39.9855,1.15,1.0,46,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Державний вищий навчальний заклад «Приазовський державний технічний університет»,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",2070812,Донецька область,Суспільний,17.2056,2.6333,14.2911,39.314,1.15,1.0,45,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
"Національний університет ""Одеська політехніка""",Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",43861328,Одеська область,Суспільний,18.2791,5.5333,15.7299,43.272,1.05,1.0,45,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Бердянський державний педагогічний університет,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",2125220,Запорізька область,Суспільний,16.0961,4.1,13.6969,37.6794,1.15,1.0,43,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
ДВНЗ «Донбаський державний педагогічний університет»,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",38177113,Донецька область,Суспільний,15.3294,4.926,13.2487,36.4464,1.15,1.0,42,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Університет митної справи та фінансів,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",39568620,Київська область,Суспільний,16.8931,5.3,14.5745,40.0936,1.05,1.0,42,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
"Державний заклад ""Луганський національний університет імені Тараса Шевченка""",Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",2125131,Луганська область,Суспільний,14.654,6.0,12.9232,35.551,1.15,1.0,41,В,"Обсяги залучення державного грантового фінансування Ф3, І10",849.0,8.883,1.0
Маріупольський державний університет,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",26593428,Донецька область,Суспільний,14.8274,6.1,13.0819,35.9875,1.15,1.0,41,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Миколаївський національний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497213,Миколаївська область,Суспільний,16.2525,3.2917,13.6603,37.5787,1.1,1.0,41,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Сумський державний педагогічний університет імені А. С. Макаренка,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",2125510,Сумська область,Суспільний,15.4648,5.5,13.4718,37.0601,1.1,1.0,41,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Білоцерківський національний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,493712,Київська область,Суспільний,17.0442,5.0,14.6354,40.2611,1.0,1.0,40,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
"Державне некомерційне підприємство ""Державний Університет ""Київський авіаційний інститут""",Заклад вищої освіти,Міністерство освіти і науки України,інші області,45853942,Київ,Суспільний,17.5623,3.1483,14.6795,40.3824,1.0,1.0,40,В,"Обсяги залучення державного грантового фінансування Ф3, І10",188.159,1.133,1.0
Національний університет харчових технологій,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070938,Київ,Суспільний,17.298,2.7083,14.3801,39.5588,1.0,1.0,40,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Харківський національний педагогічний університет імені Г. С. Сковороди­,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",2125585,Харківська область,Суспільний,14.5118,4.8333,12.5761,34.5961,1.1,1.016,39,В,"Обсяги залучення державного грантового фінансування Ф3, І10",100.281,0.577,1.0
Прикарпатський національний університет імені Василя Стефаника,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2125266,Івано-Франківська область,Суспільний,15.8977,5.7667,13.8715,38.1597,1.0,1.0,38,В,"Обсяги залучення державного грантового фінансування Ф3, І10",631.47,3.701,1.0
Київський національний університет будівництва і архітектури,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070909,Київ,Суспільний,14.6764,6.4073,13.0226,35.8244,1.0,1.0,36,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Університет Григорія Сковороди в Переяславі,Заклад вищої освіти,Міністерство освіти і науки України,інші області,4543387,Київська область,Суспільний,15.4303,4.4287,13.23,36.3949,1.0,1.0,36,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Ізмаїльський державний гуманітарний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",2125467,Одеська область,Суспільний,14.4541,3.3333,12.2299,33.6437,1.05,1.0,35,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Національний університет фізичного виховання і спорту України,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2928433,Київ,Суспільний,14.0056,5.7333,12.3511,33.9771,1.0,1.0,34,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Національний університет “Запорізька політехніка”,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",2070849,Запорізька область,Суспільний,13.1756,3.5553,11.2515,30.9522,1.1,1.0,34,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
ДВНЗ «Донецький національний технічний університет»,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",2070826,Донецька область,Суспільний,11.4343,7.0557,10.5586,29.0461,1.15,1.0,33,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Державний університет інфраструктури та технологій,Заклад вищої освіти,Міністерство освіти і науки України,інші області,41330257,Київ,Суспільний,13.7652,4.8667,11.9855,32.9714,1.0,1.0,33,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Дніпровський державний аграрно-економічний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",493675,Київ,Суспільний,13.0412,4.4167,11.3163,31.1305,1.05,1.0,33,В,"Обсяги залучення державного грантового фінансування Ф3, І10",102.28,1.454,1.0
Уманський державний педагогічний університет імені Павла Тичини,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2125639,Чернівецька область,Суспільний,13.9498,5.0667,12.1732,33.4878,1.0,1.0,33,В,"Обсяги залучення державного грантового фінансування Ф3, І10",160.141,0.791,1.0
ЦЕНТРАЛЬНОУКРАЇНСЬКИЙ ДЕРЖАВНИЙ УНІВЕРСИТЕТ ІМЕНІ ВОЛОДИМИРА ВИННИЧЕНКА,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2125415,Кіровоградська область,Суспільний,14.0538,4.5333,12.1497,33.4231,1.0,1.0,33,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
"Державний заклад ""Південноукраїнський національний педагогічний університет імені К. Д. Ушинського""",Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",2125473,Одеська область,Суспільний,12.5177,4.6,10.9342,30.0793,1.05,1.0,32,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Одеський державний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",493008,Одеська область,Суспільний,12.5123,4.7333,10.9565,30.1407,1.05,1.0,32,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Хмельницький національний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2071234,Хмельницька область,Суспільний,13.1544,5.4283,11.6092,31.9362,1.0,1.0,32,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Криворізький державний педагогічний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",40787802,Дніпропетровська область,Суспільний,12.5541,3.0333,10.6499,29.2972,1.05,1.008,31,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Криворізький національний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",37664469,Дніпропетровська область,Суспільний,12.152,3.3703,10.3957,28.598,1.05,1.022,31,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Національний транспортний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070915,Київ,Суспільний,12.0813,5.3333,10.7317,29.5223,1.0,1.0,30,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Придніпровська державна академія фізичної культури і спорту,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",55407112,Дніпропетровська область,Суспільний,11.5283,4.9333,10.2093,28.0852,1.05,1.023,30,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Львівський національний університет імені Івана Франка,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070987,Львівська область,Суспільний,11.6513,5.7777,10.4766,28.8205,1.0,1.0,29,В,"Обсяги залучення державного грантового фінансування Ф3, І10",398.58,1.029,1.0
Одеська державна академія будівництва та архітектури,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",2071033,Одеська область,Суспільний,10.745,6.5553,9.9071,27.2538,1.05,1.0,29,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Глухівський національний педагогічний університет імені Олександра Довженка,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",2125527,Сумська область,Суспільний,9.7419,6.4,9.0735,24.9607,1.1,1.013,28,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Львівський державний університет фізичної культури імені Івана Боберського,Заклад вищої освіти,Міністерство освіти і науки України,інші області,34606048,Львівська область,Суспільний,12.2451,2.5667,10.3094,28.3605,1.0,1.0,28,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Центральноукраїнський національний технічний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070950,Кіровоградська область,Суспільний,11.4067,5.7617,10.2777,28.2733,1.0,1.0,28,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Черкаський державний технологічний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,5390336,Черкаська область,Суспільний,11.5209,4.4443,10.1056,27.7999,1.0,1.0,28,В,"Обсяги залучення державного грантового фінансування Ф3, І10",7.2,0.165,1.0
Уманський національний університет садівництва,Заклад вищої освіти,Міністерство освіти і науки України,інші області,493787,Чернівецька область,Суспільний,11.3831,3.7917,9.8648,27.1375,1.0,1.0,27,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Національний університет «Одеська морська академія»,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",1127799,Одеська область,Суспільний,10.1507,4.7333,9.0672,24.9433,1.05,1.0,26,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Ніжинський державний університет імені Миколи Гоголя,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",2125668,Чернівецька область,Суспільний,10.1915,4.5717,9.0675,24.9442,1.05,1.0,26,В,"Обсяги залучення державного грантового фінансування Ф3, І10",5.16,0.135,1.0
Одеський національний технологічний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",2071062,Одеська область,Суспільний,10.086,5.2333,9.1155,25.0762,1.05,1.0,26,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Житомирський державний університет імені Івана Франка,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2125208,Житомирська область,Суспільний,9.9489,6.4667,9.2525,25.4531,1.0,1.0,25,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Київський університет права Національної академії наук України,Заклад вищої освіти,Національна академія наук України,інші області,23745145,Київ,Суспільний,10.0539,5.7333,9.1898,25.2806,1.0,1.0,25,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Київський національний лінгвістичний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2125289,Київ,Суспільний,9.0994,4.75,8.2295,22.6389,1.0,1.0,23,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Український державний університет залізничного транспорту,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",1116472,Харківська область,Суспільний,8.3582,2.7333,7.2332,19.8981,1.1,1.008,22,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Харківська державна академія фізичної культури,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",2928261,Дніпропетровська область,Суспільний,7.9499,4.8333,7.3266,20.155,1.1,1.0,22,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Державний університет економіки і технологій,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",43684645,Київ,Суспільний,7.7117,4.8333,7.136,19.6307,1.05,1.0,21,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Національний лісотехнічний університет України,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070996,Львівська область,Суспільний,7.7638,4.963,7.2036,19.8167,1.0,1.0,20,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Рівненський державний гуманітарний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,25736989,Рівненська область,Суспільний,8.1362,4.0,7.309,20.1066,1.0,1.0,20,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Черкаський національний університет імені Богдана Хмельницького,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2125622,Черкаська область,Суспільний,8.5276,2.3667,7.2954,20.0692,1.0,1.0,20,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",30.0,0.465,1.0
"ЗАКЛАД ВИЩОЇ ОСВІТИ ""ПОДІЛЬСЬКИЙ ДЕРЖАВНИЙ УНІВЕРСИТЕТ""",Заклад вищої освіти,Міністерство освіти і науки України,інші області,22769675,Хмельницька область,Суспільний,7.3066,5.9047,7.0262,19.3287,1.0,1.0,19,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Херсонська державна морська академія,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",35219930,Херсонська область,Суспільний,6.2131,5.5,6.0705,16.6996,1.15,1.0,19,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Державний заклад вищої освіти Університет менеджменту освіти НАПН України,Заклад вищої освіти,Національна академія педагогічних наук України,інші області,35830447,Київ,Суспільний,5.8532,5.7,5.8226,16.0176,1.0,1.0,16,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Донбаська державна машинобудівна академія,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",2070789,Донецька область,Суспільний,3.8696,5.7,4.2357,11.6522,1.15,1.0,13,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Одеський національний морський університет,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",1127777,Одеська область,Суспільний,3.9299,4.857,4.1153,11.3209,1.05,1.0,12,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
"Комунальний заклад вищої освіти ""Дніпровська академія неперервної освіти"" Дніпропетровської обласної ради""",Заклад вищої освіти,Дніпропетровська обласна рада,"Дніпропетровська, Одеська, Чернігівська область",41682253,Дніпропетровська область,Суспільний,3.893,3.0667,3.7277,10.2547,1.05,1.0,11,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Львівський національний університет ветеринарної медицини та біотехнологій імені С.З. Гжицького,Заклад вищої освіти,Міністерство освіти і науки України,інші області,492990,Львівська область,Суспільний,3.9875,2.6,3.71,10.206,1.0,1.0,10,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Таврійський національний університет імені В.І. Вернадського,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070967,Київ,Суспільний,3.0568,6.0333,3.6521,10.0467,1.0,1.0,10,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Київський аграрний університет НААН України,Заклад вищої освіти,Національна академія агрраних наук України,інші області,26469774,Київ,Суспільний,0.4534,3.2223,1.1972,2.7707,1.0,1.0,3,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Національний університет біоресурсів і природокористування України,Заклад вищої освіти,Міністерство освіти і науки України,інші області,493706,Київ,Аграрно-ветеринарний,48.5522,6.6297,40.1677,100.0,1.0,1.0,100,А,"Обсяги залучення державного грантового фінансування Ф3, І10",2230.079,6.838,1.0
Сумський національний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",4718013,Сумська область,Аграрно-ветеринарний,32.4351,5.4333,27.0347,67.3046,1.1,1.009,75,А,"Обсяги залучення державного грантового фінансування Ф3, І10",608.0,8.686,1.0
Таврійський державний агротехнологічний університет імені Дмитра Моторного,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",493698,Запорізька область,Аграрно-ветеринарний,31.235,4.5237,25.8927,64.4615,1.15,1.0,74,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",654.26,21.723,1.0
Миколаївський національний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497213,Миколаївська область,Аграрно-ветеринарний,30.4608,5.0667,25.382,63.1901,1.1,1.0,70,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Національний лісотехнічний університет України,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070996,Львівська область,Аграрно-ветеринарний,30.6065,6.1667,25.7185,64.0278,1.0,1.0,64,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",1093.4,22.479,1.0
Херсонський державний аграрно-економічний університет,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",493020,Херсонська область,Аграрно-ветеринарний,20.9617,5.2,17.8094,44.3376,1.15,1.148,59,Б,"Обсяги залучення державного грантового фінансування Ф3, І10",2691.14,60.178,1.0
Поліський національний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,493681,Житомирська область,Аграрно-ветеринарний,23.4005,5.3,19.7804,49.2445,1.0,1.0,49,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Полтавський державний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,493014,Полтавська область,Аграрно-ветеринарний,22.0969,6.7,19.0175,47.3453,1.0,1.0,47,В,"Обсяги залучення державного грантового фінансування Ф3, І10",64.62,0.927,1.0
Уманський національний університет садівництва,Заклад вищої освіти,Міністерство освіти і науки України,інші області,493787,Чернівецька область,Аграрно-ветеринарний,22.4648,5.2667,19.0252,47.3644,1.0,1.0,47,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Західноукраїнський національний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,33680120,Тернопільська область,Аграрно-ветеринарний,21.6072,4.8333,18.2524,45.4405,1.0,1.0,45,В,"Обсяги залучення державного грантового фінансування Ф3, І10",206.42,32.974,1.0
Одеський державний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",493008,Одеська область,Аграрно-ветеринарний,19.1867,4.3667,16.2227,40.3874,1.05,1.001,42,В,"Обсяги залучення державного грантового фінансування Ф3, І10",39.8,0.767,1.0
Вінницький національний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,497236,Вінницька область,Аграрно-ветеринарний,17.0945,6.8667,15.0489,37.4652,1.0,1.0,37,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Дніпровський державний аграрно-економічний університет,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",493675,Київ,Аграрно-ветеринарний,15.8661,6.2777,13.9484,34.7254,1.05,1.0,36,В,"Обсяги залучення державного грантового фінансування Ф3, І10",6404.0,36.855,1.0
Білоцерківський національний аграрний університет,Заклад вищої освіти,Міністерство освіти і науки України,інші області,493712,Київська область,Аграрно-ветеринарний,15.9279,6.1667,13.9757,34.7934,1.0,1.0,35,В,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Тернопільський національний технічний університет імені Івана Пулюя,Заклад вищої освіти,Міністерство освіти і науки України,інші області,5408102,Тернопільська область,Аграрно-ветеринарний,15.973,4.0833,13.5951,33.8459,1.0,1.0,34,В,"Обсяги залучення державного грантового фінансування Ф3, І10",217.27,23.213,1.0
Національний університет водного господарства та природокористування,Заклад вищої освіти,Міністерство освіти і науки України,інші області,2071116,Рівненська область,Аграрно-ветеринарний,11.1658,4.4667,9.826,24.4624,1.0,1.0,24,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Київський аграрний університет НААН України,Заклад вищої освіти,Національна академія агрраних наук України,інші області,26469774,Київ,Аграрно-ветеринарний,8.4784,4.111,7.6049,18.9329,1.0,1.0,19,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
"ЗАКЛАД ВИЩОЇ ОСВІТИ ""ПОДІЛЬСЬКИЙ ДЕРЖАВНИЙ УНІВЕРСИТЕТ""",Заклад вищої освіти,Міністерство освіти і науки України,інші області,22769675,Хмельницька область,Аграрно-ветеринарний,7.321,5.2667,6.9101,17.2031,1.0,1.0,17,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Львівський національний університет ветеринарної медицини та біотехнологій імені С.З. Гжицького,Заклад вищої освіти,Міністерство освіти і науки України,інші області,492990,Львівська область,Аграрно-ветеринарний,6.7823,5.2,6.4658,16.097,1.0,1.0,16,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
Національний університет «Чернігівська політехніка»,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",5460798,Чернігівська область,Аграрно-ветеринарний,6.3128,3.0,5.6502,14.0665,1.05,1.008,15,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
"Державний вищий навчальний заклад ""Ужгородський національний університет""",Заклад вищої освіти,Міністерство освіти і науки України,інші області,2070832,Закарпатська область,Аграрно-ветеринарний,5.3946,5.0,5.3157,13.2338,1.0,1.0,13,Г,"Обсяги залучення державного грантового фінансування Ф3, І10",0.0,0.0,0.0
