№,Статус,Повне найменування наукової установи / закладу вищої освіти *,Підпорядкованість,Юридична особа*,Регіон розташування НУ / ЗВО,Область,Науковий напрям * Рівень 0,Група,Показник,Рік,Значення
12022,Затверджено,Дослідна станція лікарських рослин Інституту агроекології і природокористування Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,інші області,Київська,Аграрно-ветеринарний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,14
12025,Затверджено,Донецький національний університет імені Василя Стуса,Міністерство освіти і науки України,Заклад вищої освіти,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Одеська,Суспільний,А,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,221
12026,Затверджено,"Державна установа ""Інститут ринку і економіко-екологічних досліджень Національної академії наук України""",Національна академія наук України,Наукова установа,"Дніпропетровська, Одеська, Чернігівська область",Харківська,Суспільний,А,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,80
12027,Затверджено,Криворізький державний педагогічний університет,Міністерство освіти і науки України,Заклад вищої освіти,"Дніпропетровська, Одеська, Чернігівська область",Миколаївська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,97
12028,Затверджено,Миколаївський національний аграрний університет,Міністерство освіти і науки України,Заклад вищої освіти,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Сумська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,52
12029,Затверджено,Херсонський державний університет,Міністерство освіти і науки України,Заклад вищої освіти,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Вінницька,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,126
12030,Затверджено,Державний торговельно-економічний університет,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Київська,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,285
12031,Затверджено,Державний вищий навчальний заклад «Приазовський державний технічний університет»,Міністерство освіти і науки України,Заклад вищої освіти,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Одеська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,46
12032,Затверджено,"Національний науковий центр ""Інститут бджільництва імені П.І. Прокоповича""",Національна академія агрраних наук України,Наукова установа,інші області,Харківська,Аграрно-ветеринарний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,26
12033,Затверджено,ІНСТИТУТ ПРОФЕСІЙНОЇ ОСВІТИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ,Національна академія педагогічних наук України,Наукова установа,інші області,Миколаївська,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,35
12034,Затверджено,Тернопільський національний педагогічний університет імені Володимира Гнатюка,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Сумська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,156
12035,Затверджено,Уманський національний університет садівництва,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Вінницька,Аграрно-ветеринарний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,96
12036,Затверджено,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Київська,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,412
12037,Затверджено,Уманський національний університет садівництва,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Одеська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,125
12090,Затверджено,Херсонський національний технічний університет,Міністерство освіти і науки України,Заклад вищої освіти,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Харківська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,104
12091,Затверджено,Донбаська державна машинобудівна академія,Міністерство освіти і науки України,Заклад вищої освіти,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Миколаївська,Суспільний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,44
12092,Затверджено,Інститут олійних культур Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Сумська,Аграрно-ветеринарний,А,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,34
12093,Затверджено,Дослідна станція помології ім. Л.П. Симиренка Інституту садівництва Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,інші області,Вінницька,Аграрно-ветеринарний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,5
12094,Затверджено,Національний юридичний університет імені Ярослава Мудрого,Міністерство освіти і науки України,Заклад вищої освіти,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Київська,Суспільний,А,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,605
12095,Затверджено,Національний університет «Одеська морська академія»,Міністерство освіти і науки України,Заклад вищої освіти,"Дніпропетровська, Одеська, Чернігівська область",Одеська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,31
12096,Затверджено,Одеський національний університет імені І.І. Мечникова,Міністерство освіти і науки України,Заклад вищої освіти,"Дніпропетровська, Одеська, Чернігівська область",Харківська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,162
12098,Затверджено,Науково-дослідний інститут правового забезпечення інноваційного розвитку Національної академії правових наук України,Національна академія правових наук України,Наукова установа,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Миколаївська,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,39
12099,Затверджено,Маріупольський державний університет,Міністерство освіти і науки України,Заклад вищої освіти,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Сумська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,82
12100,Затверджено,Одеський національний технологічний університет,Міністерство освіти і науки України,Заклад вищої освіти,"Дніпропетровська, Одеська, Чернігівська область",Вінницька,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,78
12101,Затверджено,Херсонський державний аграрно-економічний університет,Міністерство освіти і науки України,Заклад вищої освіти,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Київська,Аграрно-ветеринарний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,143
12102,Затверджено,Херсонський державний аграрно-економічний університет,Міністерство освіти і науки України,Заклад вищої освіти,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Одеська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,179
12104,Затверджено,Львівський державний університет фізичної культури імені Івана Боберського,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Харківська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,67
12105,Затверджено,Рівненський державний гуманітарний університет,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Миколаївська,Суспільний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,152
12106,Затверджено,"Комунальна науково-дослідна установа ""Науково-дослідний інститут соціально-економічного розвитку міста""",Київська міська державна адміністрація,Наукова установа,інші області,Сумська,Суспільний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,1
12107,Затверджено,Харківський національний автомобільно-дорожній університет,Міністерство освіти і науки України,Заклад вищої освіти,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Вінницька,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,64
12108,Затверджено,Львівський національний університет ветеринарної медицини та біотехнологій імені С.З. Гжицького,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Київська,Суспільний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,85
12109,Затверджено,Львівський національний університет ветеринарної медицини та біотехнологій імені С.З. Гжицького,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Одеська,Аграрно-ветеринарний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,82
12111,Затверджено,Устимівська дослідна станція рослинництва Інституту рослинництва імені В.Я. Юр'єва Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,інші області,Харківська,Аграрно-ветеринарний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,2
12112,Затверджено,Сумський державний педагогічний університет імені А. С. Макаренка,Міністерство освіти і науки України,Заклад вищої освіти,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Миколаївська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,201
12113,Затверджено,Інститут сільського господарства Степу Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,інші області,Сумська,Аграрно-ветеринарний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,11
12114,Затверджено,Херсонська державна морська академія,Міністерство освіти і науки України,Заклад вищої освіти,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Вінницька,Суспільний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,68
12115,Затверджено,ДВНЗ «Донецький національний технічний університет»,Міністерство освіти і науки України,Заклад вищої освіти,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Київська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,52
12116,Затверджено,Державний університет інфраструктури та технологій,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Одеська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,111
12118,Затверджено,Одеський національний морський університет,Міністерство освіти і науки України,Заклад вищої освіти,"Дніпропетровська, Одеська, Чернігівська область",Харківська,Суспільний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,44
12119,Затверджено,Інститут соціології НАН України,Національна академія наук України,Наукова установа,інші області,Миколаївська,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,35
12121,Затверджено,Науково-дослідний інститут приватного права і підприємництва імені академіка Ф.Г. Бурчака НАПрН України,Національна академія правових наук України,Наукова установа,інші області,Сумська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,61
12122,Затверджено,Мелітопольський державний педагогічний університет імені Богдана Хмельницького,Міністерство освіти і науки України,Заклад вищої освіти,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Вінницька,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,100
12123,Затверджено,Східноукраїнський національний університет імені Володимира Даля,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Київська,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,175
12124,Затверджено,Київський національний лінгвістичний університет,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Одеська,Суспільний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,15
12145,Затверджено,"Інститут тваринництва степових районів імені М.Ф. Іванова ""Асканія-Нова"" - Національний науковий селекційно-генетичний центр вівчарства",Національна академія агрраних наук України,Наукова установа,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Харківська,Аграрно-ветеринарний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,23
12146,Затверджено,Державний заклад вищої освіти Університет менеджменту освіти НАПН України,Національна академія педагогічних наук України,Заклад вищої освіти,інші області,Миколаївська,Суспільний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,76
12147,Затверджено,Таврійський національний університет імені В.І. Вернадського,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Сумська,Суспільний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,16
12148,Затверджено,Національний університет «Острозька академія»,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Вінницька,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,19
12149,Затверджено,Національний технічний університет «Дніпровська політехніка»,Міністерство освіти і науки України,Заклад вищої освіти,"Дніпропетровська, Одеська, Чернігівська область",Київська,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,166
12280,Затверджено,Одеський національний економічний університет,Міністерство освіти і науки України,Заклад вищої освіти,"Дніпропетровська, Одеська, Чернігівська область",Одеська,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,207
12302,Затверджено,Миколаївський національний аграрний університет,Міністерство освіти і науки України,Заклад вищої освіти,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Харківська,Аграрно-ветеринарний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,77
12347,Затверджено,Інститут картоплярства Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,інші області,Миколаївська,Аграрно-ветеринарний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2021,13
11813,Затверджено,Державна науково-технічна бібліотека України,Міністерство освіти і науки України,Наукова установа,інші області,Київська,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,5
11819,Затверджено,Інститут психології імені Г.С. Костюка НАПН України,Національна академія педагогічних наук України,Наукова установа,інші області,Одеська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,70
11820,Затверджено,Черкаський національний університет імені Богдана Хмельницького,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Харківська,Суспільний,Г,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,99
11821,Затверджено,Університет Григорія Сковороди в Переяславі,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Миколаївська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,215
11822,Затверджено,Глухівський національний педагогічний університет імені Олександра Довженка,Міністерство освіти і науки України,Заклад вищої освіти,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Сумська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,127
11823,Затверджено,"Державна установа ""Інститут охорони грунтів України""",Міністерство аграрної політики та продовольства України,Наукова установа,інші області,Вінницька,Аграрно-ветеринарний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,27
11825,Затверджено,Дослідна станція карантину винограду і плодових культур Інституту захисту рослин Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,"Дніпропетровська, Одеська, Чернігівська область",Одеська,Аграрно-ветеринарний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,0
11826,Затверджено,Уманський державний педагогічний університет імені Павла Тичини,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Харківська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,365
11827,Затверджено,Державний науково-дослідний контрольний інститут ветеринарних препаратів та кормових добавок,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Наукова установа,інші області,Миколаївська,Аграрно-ветеринарний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,20
11829,Затверджено,Національний університет “Запорізька політехніка”,Міністерство освіти і науки України,Заклад вищої освіти,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Сумська,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,113
11832,Затверджено,Київський університет права Національної академії наук України,Національна академія наук України,Заклад вищої освіти,інші області,Вінницька,Суспільний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,5
11833,Затверджено,Український інститут експертизи сортів рослин,Міністерство аграрної політики та продовольства України,Наукова установа,інші області,Київська,Аграрно-ветеринарний,В,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,27
11834,Затверджено,"Державна наукова установа ""Інститут інформації, безпеки і права Національної академії правових наук України""",Національна академія правових наук України,Наукова установа,інші області,Одеська,Суспільний,Б,"Кількість наукових статей, які опубліковані у фахових наукових виданнях України категорії Б та / або публікацій, які індексуються у Scopus та / або WoS без квартиля",2022,47
